Symbol,name of the company,ISIN number
JETFREIGHT,Jet Freight Logistics Limited,INE982V01025
JGCHEM,J.G.Chemicals Limited,INE0MB501011
JHS,JHS Svendgaard Laboratories Limited,INE544H01014
JINDALPHOT,Jindal Photo Limited,INE796G01012
JINDALPOLY,Jindal Poly Films Limited,INE197D01010
JINDALSAW,Jindal Saw Limited,INE324A01032
JINDALSTEL,JINDAL STEEL LIMITED,INE749A01030
JINDRILL,Jindal Drilling And Industries Limited,INE742C01031
JINDWORLD,Jindal Worldwide Limited,INE247D01039
JIOFIN,Jio Financial Services Limited,INE758E01017
JISLDVREQS,Jain Irrigation Systems Limited,IN9175A01010
JISLJALEQS,Jain Irrigation Systems Limited,INE175A01038
JITFINFRA,JITF Infralogistics Limited,INE863T01013
JKCEMENT,JK Cement Limited,INE823G01014
JKIL,J.Kumar Infraprojects Limited,INE576I01022
JKIPL,Jinkushal Industries Limited,INE1FF001016
JKLAKSHMI,JK Lakshmi Cement Limited,INE786A01032
JKPAPER,JK Paper Limited,INE789E01012
JKTYRE,JK Tyre & Industries Limited,INE573A01042
JLHL,Jupiter Life Line Hospitals Limited,INE682M01012
JMA,Jullundur Motor Agency (Delhi) Limited,INE412C01023
JMFINANCIL,JM Financial Limited,INE780C01023
JNKINDIA,JNK India Limited,INE0OAF01028
JOCIL,Jocil Limited,INE839G01010
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,INE147P01019
JPPOWER,Jaiprakash Power Ventures Limited,INE351F01018
JSFB,Jana Small Finance Bank Limited,INE953L01027
JSL,Jindal Stainless Limited,INE220G01021
JSLL,Jeena Sikho Lifecare Limited,INE0J5801029
JSWCEMENT,JSW Cement Limited,INE718I01012
JSWENERGY,JSW Energy Limited,INE121E01018
JSWHL,JSW Holdings Limited,INE824G01012
JSWINFRA,JSW Infrastructure Limited,INE880J01026
JSWSTEEL,JSW Steel Limited,INE019A01038
JTEKTINDIA,Jtekt India Limited,INE643A01035
JTLIND,JTL INDUSTRIES LIMITED,INE391J01032
JUBLCPL,Jubilant Agri and Consumer Products Limited,INE03CC01015
JUBLFOOD,Jubilant Foodworks Limited,INE797F01020
JUBLINGREA,Jubilant Ingrevia Limited,INE0BY001018
JUBLPHARMA,Jubilant Pharmova Limited,INE700A01033
JUNIPER,Juniper Hotels Limited,INE696F01016
JUSTDIAL,Just Dial Limited,INE599M01018
JWL,Jupiter Wagons Limited,INE209L01016
JYOTHYLAB,Jyothy Labs Limited,INE668F01031
JYOTICNC,Jyoti CNC Automation Limited,INE980O01024
JYOTISTRUC,Jyoti Structures Limited,INE197A01024
KABRAEXTRU,Kabra Extrusion Technik Limited,INE900B01029
KAJARIACER,Kajaria Ceramics Limited,INE217B01036
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,INE437B01014
KALAMANDIR,Sai Silks (Kalamandir) Limited,INE438K01021
KALPATARU,Kalpataru Limited,INE227J01012
KALYANI,Kalyani Commercials Limited,INE610E01010
KALYANIFRG,Kalyani Forge Limited,INE314G01014
KALYANKJIL,Kalyan Jewellers India Limited,INE303R01014
KAMATHOTEL,Kamat Hotels (I) Limited,INE967C01018
KAMDHENU,Kamdhenu Limited,INE390H01020
KAMOPAINTS,Kamdhenu Ventures Limited,INE0BTI01037
KANANIIND,Kanani Industries Limited,INE879E01037
KANORICHEM,Kanoria Chemicals & Industries Limited,INE138C01024
KANPRPLA,Kanpur Plastipack Limited,INE694E01014
KANSAINER,Kansai Nerolac Paints Limited,INE531A01024
KAPSTON,Kapston Services Limited,INE542Z01028
KARMAENG,Karma Energy Limited,INE725L01011
KARURVYSYA,Karur Vysya Bank Limited,INE036D01028
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,INE234I01028
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,INE641C01019
KAYA,Kaya Limited,INE587G01015
KAYNES,Kaynes Technology India Limited,INE918Z01012
KCP,KCP Limited,INE805C01028
KCPSUGIND,KCP Sugar and Industries Corporation Limited,INE790B01024
KDDL,KDDL Limited,INE291D01011
KEC,KEC International Limited,INE389H01022
KECL,Kirloskar Electric Company Limited,INE134B01017
KEEPLEARN,DSJ Keep Learning Limited,INE055C01020
KEI,KEI Industries Limited,INE878B01027
KELLTONTEC,Kellton Tech Solutions Limited,INE164B01030
KERNEX,Kernex Microsystems (India) Limited,INE202H01019
KESORAMIND,Kesoram Industries Limited,INE087A01019
KEYFINSERV,Keynote Financial Services Limited,INE681C01015
KFINTECH,Kfin Technologies Limited,INE138Y01010
KHADIM,Khadim India Limited,INE834I01025
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,INE745B01028
KHAITANLTD,Khaitan (India) Limited,INE731C01018
KHANDSE,Khandwala Securities Limited,INE060B01014
KICL,Kalyani Investment Company Limited,INE029L01018
KILITCH,Kilitch Drugs (India) Limited,INE729D01010
KIMS,Krishna Institute of Medical Sciences Limited,INE967H01025
KINGFA,Kingfa Science & Technology (India) Limited,INE473D01015
KIOCL,KIOCL Limited,INE880L01014
KIRIINDUS,Kiri Industries Limited,INE415I01015
KIRLOSBROS,Kirloskar Brothers Limited,INE732A01036
KIRLOSENG,Kirloskar Oil Engines Limited,INE146L01010
KIRLOSIND,Kirloskar Industries Limited,INE250A01039
KIRLPNU,Kirloskar Pneumatic Company Limited,INE811A01020
KITEX,Kitex Garments Limited,INE602G01020
KKCL,Kewal Kiran Clothing Limited,INE401H01017
KMEW,Knowledge Marine & Engineering Works Limited,INE0CJD01029
KMSUGAR,K.M.Sugar Mills Limited,INE157H01023
KNAGRI,KN Agri Resources Limited,INE0KNW01016
KNRCON,KNR Constructions Limited,INE634I01029
KOHINOOR,Kohinoor Foods Limited,INE080B01012
KOKUYOCMLN,Kokuyo Camlin Limited,INE760A01029
KOLTEPATIL,Kolte - Patil Developers Limited,INE094I01018
KOPRAN,Kopran Limited,INE082A01010
KOTAKBANK,Kotak Mahindra Bank Limited,INE237A01036
KOTARISUG,Kothari Sugars And Chemicals Limited,INE419A01022
KOTHARIPET,Kothari Petrochemicals Limited,INE720A01015
KOTHARIPRO,Kothari Products Limited,INE823A01017
KOTYARK,Kotyark Industries Limited,INE0J0B01017
KPEL,K.P. Energy Limited,INE127T01021
KPIGREEN,KPI Green Energy Limited,INE542W01025
KPIL,Kalpataru Projects International Limited,INE220B01022
KPITTECH,KPIT Technologies Limited,INE04I401011
KPRMILL,K.P.R. Mill Limited,INE930H01031
KRBL,KRBL Limited,INE001B01026
KREBSBIO,Krebs Biochemicals and Industries Limited,INE268B01013
KRIDHANINF,Kridhan Infra Limited,INE524L01026
KRISHANA,Krishana Phoschem Limited,INE506W01012
KRISHIVAL,Krishival Foods Limited,INE0GGO01015
KRISHNADEF,Krishna Defence And Allied Industries Limited,INE0J5601015
KRITI,Kriti Industries (India) Limited,INE479D01038
KRITIKA,Kritika Wires Limited,INE00Z501029
KRITINUT,Kriti Nutrients Limited,INE798K01010
KRN,KRN Heat Exchanger and Refrigeration Limited,INE0Q3J01015
KRONOX,Kronox Lab Sciences Limited,INE0ATZ01017
KROSS,Kross Limited,INE0O6601022
KRSNAA,Krsnaa Diagnostics Limited,INE08LI01020
KRYSTAL,Krystal Integrated Services Limited,INE0QN801017
KSB,Ksb Limited,INE999A01023
KSCL,Kaveri Seed Company Limited,INE455I01029
KSHINTL,KSH International Limited,INE987S01020
KSHITIJPOL,Kshitij Polyline Limited,INE013801027
KSL,Kalyani Steels Limited,INE907A01026
KSOLVES,Ksolves India Limited,INE0D6I01023
KSR,KSR Footwear Limited,INE1SPP01016
KTKBANK,The Karnataka Bank Limited,INE614B01018
KUANTUM,Kuantum Papers Limited,INE529I01021
KWIL,Kwality Wall's (India) Limited,INE2KCE01013
LAGNAM,Lagnam Spintex Limited,INE548Z01017
LAKPRE,Lakshmi Precision Screws Limited,INE651C01018
LAL,Lorenzini Apparels Limited,INE740X01023
LALPATHLAB,Dr. Lal Path Labs Ltd.,INE600L01024
LAMBODHARA,Lambodhara Textiles Limited,INE112F01022
LANCORHOL,Lancor Holdings Limited,INE572G01025
LANDMARK,Landmark Cars Limited,INE559R01029
LAOPALA,La Opala RG Limited,INE059D01020
LASA,Lasa Supergenerics Limited,INE670X01014
LATENTVIEW,Latent View Analytics Limited,INE0I7C01011
LATTEYS,Latteys Industries Limited,INE262Z01023
LAURUSLABS,Laurus Labs Limited,INE947Q01028
LAXMICOT,Laxmi Cotspin Limited,INE801V01019
LAXMIDENTL,Laxmi Dental Limited,INE0WO601020
LAXMIINDIA,Laxmi India Finance Limited,INE06WU01026
LCCINFOTEC,LCC Infotech Limited,INE938A01021
LEMERITE,Le Merite Exports Limited,INE0G1L01017
LEMONTREE,Lemon Tree Hotels Limited,INE970X01018
LENSKART,Lenskart Solutions Limited,INE956O01016
LEXUS,Lexus Granito (India) Limited,INE500X01013
LFIC,Lakshmi Finance & Industrial Corporation Limited,INE850E01012
LGBBROSLTD,LG Balakrishnan & Bros Limited,INE337A01034
LGEINDIA,LG Electronics India Limited,INE324D01010
LGHL,Laxmi Goldorna House Limited,INE258Y01016
LIBAS,Libas Consumer Products Limited,INE908V01012
LIBERTSHOE,Liberty Shoes Limited,INE557B01019
LICHSGFIN,LIC Housing Finance Limited,INE115A01026
LICI,Life Insurance Corporation Of India,INE0J1Y01017
LIKHITHA,Likhitha Infrastructure Limited,INE060901027
LINC,Linc Limited,INE802B01027
LINCOLN,Lincoln Pharmaceuticals Limited,INE405C01035
LINDEINDIA,Linde India Limited,INE473A01011
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,INE093R01011
LLOYDSENT,Lloyds Enterprises Limited,INE080I01025
LLOYDSME,Lloyds Metals And Energy Limited,INE281B01032
LMW,LMW Limited,INE269B01029
LODHA,Lodha Developers Limited,INE670K01029
LOKESHMACH,Lokesh Machines Limited,INE397H01017
LORDSCHLO,Lords Chloro Alkali Limited,INE846D01012
LOTUSDEV,Sri Lotus Developers and Realty Limited,INE0V9Q01010
LOTUSEYE,Lotus Eye Hospital and Institute Limited,INE947I01017
LOVABLE,Lovable Lingerie Limited,INE597L01014
LOYALTEX,Loyal Textile Mills Limited,INE970D01010
LPDC,Landmark Property Development Company Limited,INE197J01017
LT,Larsen & Toubro Limited,INE018A01030
LTF,L&T Finance Limited,INE498L01015
LTFOODS,LT Foods Limited,INE818H01020
LTM,LTIMindtree Limited,INE214T01019
LTTS,L&T Technology Services Limited,INE010V01017
LUMAXIND,Lumax Industries Limited,INE162B01018
LUMAXTECH,Lumax Auto Technologies Limited,INE872H01027
LUPIN,Lupin Limited,INE326A01037
LUXIND,Lux Industries Limited,INE150G01020
LXCHEM,Laxmi Organic Industries Limited,INE576O01020
LYKALABS,Lyka Labs Limited,INE933A01014
LYPSAGEMS,Lypsa Gems & Jewellery Limited,INE142K01011
M&M,Mahindra & Mahindra Limited,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Limited,INE774D01024
MAANALU,Maan Aluminium Limited,INE215I01027
MACPOWER,Macpower CNC Machines Limited,INE155Z01011
MADHAV,Madhav Marbles and Granites Limited,INE925C01016
MADHUCON,Madhucon Projects Limited,INE378D01032
MADRASFERT,Madras Fertilizers Limited,INE414A01015
MAGADSUGAR,Magadh Sugar & Energy Limited,INE347W01011
MAGNUM,Magnum Ventures Limited,INE387I01016
MAHABANK,Bank of Maharashtra,INE457A01014
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,INE843B01013
MAHASTEEL,Mahamaya Steel Industries Limited,INE451L01014
MAHEPC,Mahindra EPC Irrigation Limited,INE215D01010
MAHESHWARI,Maheshwari Logistics Limited,INE263W01010
MAHLIFE,Mahindra Lifespace Developers Limited,INE813A01018
MAHLOG,Mahindra Logistics Limited,INE766P01016
MAHSCOOTER,Maharashtra Scooters Limited,INE288A01013
MAHSEAMLES,Maharashtra Seamless Limited,INE271B01025
MAITHANALL,Maithan Alloys Limited,INE683C01011
MALLCOM,Mallcom (India) Limited,INE389C01015
MALUPAPER,Malu Paper Mills Limited,INE383H01017
MAMATA,Mamata Machinery Limited,INE0TO701015
MANAKALUCO,Manaksia Aluminium Company Limited,INE859Q01017
MANAKCOAT,Manaksia Coated Metals & Industries Limited,INE830Q01018
MANAKSIA,Manaksia Limited,INE015D01022
MANAKSTEEL,Manaksia Steels Limited,INE824Q01011
MANALIPETC,Manali Petrochemicals Limited,INE201A01024
MANAPPURAM,Manappuram Finance Limited,INE522D01027
MANBA,Manba Finance Limited,INE939X01013
MANCREDIT,Mangal Credit and Fincorp Limited,INE545L01039
MANGALAM,Mangalam Drugs And Organics Limited,INE584F01014
MANGLMCEM,Mangalam Cement Limited,INE347A01017
MANINDS,Man Industries (India) Limited,INE993A01026
MANINFRA,Man Infraconstruction Limited,INE949H01023
MANKIND,Mankind Pharma Limited,INE634S01028
MANOMAY,Manomay Tex India Limited,INE784W01015
MANORAMA,Manorama Industries Limited,INE00VM01036
MANORG,Mangalam Organics Limited,INE370D01013
MANUGRAPH,Manugraph India Limited,INE867A01022
MANYAVAR,Vedant Fashions Limited,INE825V01034
MAPMYINDIA,C.E. Info Systems Limited,INE0BV301023
MARALOVER,Maral Overseas Limited,INE882A01013
MARATHON,Marathon Nextgen Realty Limited,INE182D01020
MARICO,Marico Limited,INE196A01026
MARINE,Marine Electricals (India) Limited,INE01JE01028
MARKOLINES,Markolines Pavement Technologies Limited,INE0FW001016
MARKSANS,Marksans Pharma Limited,INE750C01026
MARSONS,Marsons Limited,INE415B01044
MARUTI,Maruti Suzuki India Limited,INE585B01010
MASFIN,MAS Financial Services Limited,INE348L01012
MASKINVEST,Mask Investments Limited,INE885F01015
MASTEK,Mastek Limited,INE759A01021
MASTERTR,Master Trust Limited,INE677D01037
MATRIMONY,Matrimony.Com Limited,INE866R01028
MAWANASUG,Mawana Sugars Limited,INE636A01039
MAXESTATES,Max Estates Limited,INE03EI01018
MAXHEALTH,Max Healthcare Institute Limited,INE027H01010
MAXIND,Max India Limited,INE0CG601016
MAYURUNIQ,Mayur Uniquoters Ltd,INE040D01038
MAZDA,Mazda Limited,INE885E01042
MAZDOCK,Mazagon Dock Shipbuilders Limited,INE249Z01020
MBAPL,Madhya Bharat Agro Products Limited,INE900L01010
MBEL,M & B Engineering Limited,INE08N601015
MBLINFRA,MBL Infrastructure Limited,INE912H01013
MCL,Madhav Copper Limited,INE813V01022
MCLEODRUSS,Mcleod Russel India Limited,INE942G01012
MCLOUD,Magellanic Cloud Limited,INE613C01026
MCX,Multi Commodity Exchange of India Limited,INE745G01043
MEDANTA,Global Health Limited,INE474Q01031
MEDIASSIST,Medi Assist Healthcare Services Limited,INE456Z01021
MEDICAMEQ,Medicamen Biotech Limited,INE646B01010
MEDICO,Medico Remedies Limited,INE630Y01024
MEDPLUS,Medplus Health Services Limited,INE804L01022
MEESHO,Meesho Limited,INE0VDM01015
MEGASTAR,Megastar Foods Limited,INE00EM01016
MEIL,Mangal Electrical Industries Limited,INE0PKD01011
MENONBE,Menon Bearings Limited,INE071D01033
MEP,MEP Infrastructure Developers Limited,INE776I01010
METROBRAND,Metro Brands Limited,INE317I01021
METROPOLIS,Metropolis Healthcare Limited,INE112L01020
MFML,Mahalaxmi Fabric Mills Limited,INE0US801024
MFSL,Max Financial Services Limited,INE180A01020
MGEL,Mangalam Global Enterprise Limited,INE0APB01032
MGL,Mahanagar Gas Limited,INE002S01010
MHLXMIRU,Mahalaxmi Rubtech Limited,INE112D01035
MHRIL,Mahindra Holidays & Resorts India Limited,INE998I01010
MICEL,MIC Electronics Limited,INE287C01037
MIDHANI,Mishra Dhatu Nigam Limited,INE099Z01011
MIDWESTLTD,Midwest Limited,INE0XAD01024
MINDACORP,Minda Corporation Limited,INE842C01021
MINDTECK,Mindteck (India) Limited,INE110B01017
MIRCELECTR,MIRC Electronics Limited,INE831A01028
MIRZAINT,Mirza International Limited,INE771A01026
MITCON,MITCON Consultancy & Engineering Services Limited,INE828O01033
MITTAL,Mittal Life Style Limited,INE997Y01027
MKPL,M K Proteins Limited,INE964W01021
MMFL,MM Forgings Limited,INE227C01017
MMP,MMP Industries Limited,INE511Y01018
MMTC,MMTC Limited,INE123F01029
MOBIKWIK,One Mobikwik Systems Limited,INE0HLU01028
MODINATUR,Modi Naturals Limited,INE537F01012
MODIRUBBER,Modi Rubber Limited,INE832A01018
MODIS,Modis Navnirman Limited,INE0L0L01012
MODISONLTD,MODISON LIMITED,INE737D01021
MODTHREAD,Modern Threads (India) Limited,INE794W01014
MOHITIND,Mohit Industries Limited,INE954E01012
MOIL,MOIL Limited,INE490G01020
MOKSH,Moksh Ornaments Limited,INE514Y01020
MOL,Meghmani Organics Limited,INE0CT101020
MOLDTECH,Mold-Tek Technologies Limited,INE835B01035
MOLDTKPAC,Mold-Tek Packaging Limited,INE893J01029
MONARCH,Monarch Networth Capital Limited,INE903D01011
MONEYBOXX,Moneyboxx Finance Limited,INE296Q01012
MONTECARLO,Monte Carlo Fashions Limited,INE950M01013
MORARJEE,Morarjee Textiles Limited,INE161G01027
MOREPENLAB,Morepen Laboratories Limited,INE083A01026
MOSCHIP,Moschip Technologies Limited,INE935B01025
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027
MOTISONS,Motisons Jewellers Limited,INE0FRK01020
MOTOGENFIN,The Motor & General Finance Limited,INE861B01023
MPHASIS,MphasiS Limited,INE356A01018
MPSLTD,MPS Limited,INE943D01017
MRF,MRF Limited,INE883A01011
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014
MSPL,MSP Steel & Power Limited,INE752G01015
MSTCLTD,Mstc Limited,INE255X01014
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015
MTARTECH,Mtar Technologies Limited,INE864I01014
MTEDUCARE,MT Educare Limited,INE472M01018
MTNL,Mahanagar Telephone Nigam Limited,INE153A01019
MUFIN,Mufin Green Finance Limited,INE08KJ01020
MUFTI,Credo Brands Marketing Limited,INE220Q01020
MUKANDLTD,Mukand Limited,INE304A01026
MUKKA,Mukka Proteins Limited,INE0CG401037
MUKTAARTS,Mukta Arts Limited,INE374B01019
MUNJALAU,Munjal Auto Industries Limited,INE672B01032
MUNJALSHOW,Munjal Showa Limited,INE577A01027
MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014
MUTHOOTCAP,Muthoot Capital Services Limited,INE296G01013
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012
MUTHOOTMF,Muthoot Microfin Limited,INE046W01019
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,INE0KNT01012
MWL,Mangalam Worldwide Limited,INE0JYY01011
NACLIND,NACL Industries Limited,INE295D01020
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,INE245I01016
NAGREEKEXP,Nagreeka Exports Limited,INE123B01028
NAHARCAP,Nahar Capital and Financial Services Limited,INE049I01012
NAHARINDUS,Nahar Industrial Enterprises Limited,INE289A01011
NAHARPOLY,Nahar Poly Films Limited,INE308A01027
NAHARSPING,Nahar Spinning Mills Limited,INE290A01027
NAM-INDIA,Nippon Life India Asset Management Limited,INE298J01013
NARMADA,Narmada Agrobase Limited,INE117Z01011
NATCAPSUQ,Natural Capsules Limited,INE936B01015
NATCOPHARM,Natco Pharma Limited,INE987B01026
NATHBIOGEN,Nath Bio-Genes (India) Limited,INE448G01010
NATIONALUM,National Aluminium Company Limited,INE139A01034
NAUKRI,Info Edge (India) Limited,INE663F01032
NAVA,NAVA LIMITED,INE725A01030
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026
NAVKARCORP,Navkar Corporation Limited,INE278M01019
NAVKARURB,Navkar Urbanstructure Limited,INE268H01044
NAVNETEDUL,Navneet Education Limited,INE060A01024
NAZARA,Nazara Technologies Limited,INE418L01047
NBCC,NBCC (India) Limited,INE095N01031
NBIFIN,N. B. I. Industrial Finance Company Limited,INE365I01020
NCC,NCC Limited,INE868B01028
NCLIND,NCL Industries Limited,INE732C01016
NDGL,Naga Dhunseri Group Limited,INE756C01015
NDL,Nandan Denim Limited,INE875G01048
NDLVENTURE,NDL Ventures Limited,INE353A01023
NDRAUTO,Ndr Auto Components Limited,INE07OG01012
NDTV,New Delhi Television Limited,INE155G01029
NECCLTD,North Eastern Carrying Corporation Limited,INE553C01016
NECLIFE,Nectar Lifesciences Limited,INE023H01027
NELCAST,Nelcast Limited,INE189I01024
NELCO,NELCO Limited,INE045B01015
NEOGEN,Neogen Chemicals Limited,INE136S01016
NEPHROPLUS,Nephrocare Health Services Limited,INE428V01029
NESCO,Nesco Limited,INE317F01035
NESTLEIND,Nestle India Limited,INE239A01024
NETWEB,Netweb Technologies India Limited,INE0NT901020
NETWORK18,Network18 Media & Investments Limited,INE870H01013
NEULANDLAB,Neuland Laboratories Limited,INE794A01010
NEWGEN,Newgen Software Technologies Limited,INE619B01017
NEXTMEDIA,Next Mediaworks Limited,INE747B01016
NFL,National Fertilizers Limited,INE870D01012
NGIL,Nakoda Group of Industries Limited,INE236Y01012
NGLFINE,NGL Fine-Chem Limited,INE887E01022
NH,Narayana Hrudayalaya Ltd.,INE410P01011
NHPC,NHPC Limited,INE848E01016
NIACL,The New India Assurance Company Limited,INE470Y01017
NIBE,NIBE Limited,INE149O01018
NIBL,NRB Industrial Bearings Limited,INE047O01014
NIITLTD,NIIT Limited,INE161A01038
NIITMTS,NIIT Learning Systems Limited,INE342G01023
NILAINFRA,Nila Infrastructures Limited,INE937C01029
NILASPACES,Nila Spaces Limited,INE00S901012
NILKAMAL,Nilkamal Limited,INE310A01015
NINSYS,NINtec Systems Limited,INE395U01014
NIPPOBATRY,Indo-National Limited,INE567A01028
NIRAJ,Niraj Cement Structurals Limited,INE368I01016
NIRAJISPAT,Niraj Ispat Industries Limited,INE326T01011
NITCO,Nitco Limited,INE858F01012
NITINSPIN,Nitin Spinners Limited,INE229H01012
NITIRAJ,Nitiraj Engineers Limited,INE439T01012
NIVABUPA,Niva Bupa Health Insurance Company Limited,INE995S01015
NKIND,NK Industries Limited,INE542C01019
NLCINDIA,NLC India Limited,INE589A01014
NMDC,NMDC Limited,INE584A01023
NOCIL,NOCIL Limited,INE163A01018
NOIDATOLL,Noida Toll Bridge Company Limited,INE781B01015
NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017
NORTHARC,Northern Arc Capital Limited,INE850M01015
NOVAAGRI,Nova Agritech Limited,INE02H701025
NPST,Network People Services Technologies Limited,INE0FFK01017
NRAIL,N R Agarwal Industries Limited,INE740D01017
NRBBEARING,NRB Bearing Limited,INE349A01021
NRL,Nupur Recyclers Limited,INE0JM501013
NSIL,Nalwa Sons Investments Limited,INE023A01030
NSLNISP,NMDC Steel Limited,INE0NNS01018
NTPC,NTPC Limited,INE733E01010
NTPCGREEN,NTPC Green Energy Limited,INE0ONG01011
NUCLEUS,Nucleus Software Exports Limited,INE096B01018
NURECA,Nureca Limited,INE0DSF01015
NUVAMA,Nuvama Wealth Management Limited,INE531F01023
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029
OAL,Oriental Aromatics Limited,INE959C01023
OBCL,Orissa Bengal Carrier Limited,INE426Z01016
OBEROIRLTY,Oberoi Realty Limited,INE093I01010
OCCLLTD,OCCL Limited,INE0PK601023
ODIGMA,Odigma Consultancy Solutions Limited,INE054301028
OFSS,Oracle Financial Services Software Limited,INE881D01027
OIL,Oil India Limited,INE274J01014
OILCOUNTUB,Oil Country Tubular Limited,INE591A01010
OLAELEC,Ola Electric Mobility Limited,INE0LXG01040
OLECTRA,Olectra Greentech Limited,INE260D01016
OMAXAUTO,Omax Autos Limited,INE090B01011
OMAXE,Omaxe Limited,INE800H01010
OMFREIGHT,Om Freight Forwarders Limited,INE1BZC01019
OMINFRAL,OM INFRA LIMITED,INE239D01028
OMKARCHEM,Omkar Speciality Chemicals Limited,INE474L01016
OMNI,Omnitech Engineering Limited,INE0UH301010
ONELIFECAP,Onelife Capital Advisors Limited,INE912L01015
ONEPOINT,One Point One Solutions Limited,INE840Y01029
ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029
ONMOBILE,OnMobile Global Limited,INE809I01019
ONWARDTEC,Onward Technologies Limited,INE229A01017
OPTIEMUS,Optiemus Infracom Limited,INE350C01017
ORBTEXP,Orbit Exports Limited,INE231G01010
ORCHASP,Orchasp Limited,INE215B01022
ORCHPHARMA,Orchid Pharma Limited,INE191A01027
ORICONENT,Oricon Enterprises Limited,INE730A01022
ORIENTALTL,Oriental Trimex Limited,INE998H01012
ORIENTBELL,Orient Bell Limited,INE607D01018
ORIENTCEM,Orient Cement Limited,INE876N01018
ORIENTCER,ORIENT CERATECH LIMITED,INE569C01020
ORIENTELEC,Orient Electric Limited,INE142Z01019
ORIENTHOT,Oriental Hotels Limited,INE750A01020
ORIENTLTD,Orient Press Limited,INE609C01024
ORIENTPPR,Orient Paper & Industries Limited,INE592A01026
ORIENTTECH,Orient Technologies Limited,INE0PPK01015
ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024
ORKLAINDIA,Orkla India Limited,INE16NZ01023
ORTEL,Ortel Communications Limited,INE849L01019
ORTINGLOBE,ORTIN GLOBAL LIMITED,INE749B01020
OSIAHYPER,Osia Hyper Retail Limited,INE06IR01021
OSWALAGRO,Oswal Agro Mills Limited,INE142A01012
OSWALGREEN,Oswal Greentech Limited,INE143A01010
OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01029
PACEDIGITK,Pace Digitek Limited,INE0S3G01027
PAGEIND,Page Industries Limited,INE761H01022
PAISALO,Paisalo Digital Limited,INE420C01059
PAKKA,PAKKA LIMITED,INE551D01018
PALASHSECU,Palash Securities Limited,INE471W01019
PALREDTEC,Palred Technologies Limited,INE218G01033
PANACEABIO,Panacea Biotec Limited,INE922B01023
PANACHE,Panache Digilife Limited,INE895W01019
PANAMAPET,Panama Petrochem Limited,INE305C01029
PANSARI,Pansari Developers Limited,INE697V01011
PAR,Par Drugs And Chemicals Limited,INE04LG01015
PARACABLES,Paramount Communications Limited,INE074B01023
PARADEEP,Paradeep Phosphates Limited,INE088F01024
PARAGMILK,Parag Milk Foods Limited,INE883N01014
PARAS,Paras Defence and Space Technologies Limited,INE045601023
PARASPETRO,Paras Petrofils Limited,INE162C01024
PARKHOSPS,Park Medi World Limited,INE119201023
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,INE988S01028
PARSVNATH,Parsvnath Developers Limited,INE561H01026
PASHUPATI,Pashupati Cotspin Limited,INE124Y01010
PASUPTAC,Pasupati Acrylon Limited,INE818B01023
PATANJALI,Patanjali Foods Limited,INE619A01035
PATELENG,Patel Engineering Limited,INE244B01030
PATELRMART,Patel Retail Limited,INE0R8B01010
PATINTLOG,Patel Integrated Logistics Limited,INE529D01014
PAUSHAKLTD,Paushak Limited,INE111F01024
PAVNAIND,Pavna Industries Limited,INE07S101038
PAYTM,One 97 Communications Limited,INE982J01020
PCBL,PCBL Chemical Limited,INE602A01031
PCJEWELLER,PC Jeweller Limited,INE785M01021
PDMJEPAPER,Pudumjee Paper Products Limited,INE865T01018
PDSL,PDS Limited,INE111Q01021
PEARLPOLY,Pearl Polymers Limited,INE844A01013
PENIND,Pennar Industries Limited,INE932A01024
PENINLAND,Peninsula Land Limited,INE138A01028
PERSISTENT,Persistent Systems Limited,INE262H01021
PETRONET,Petronet LNG Limited,INE347G01014
PFC,Power Finance Corporation Limited,INE134E01011
PFIZER,Pfizer Limited,INE182A01018
PFOCUS,Prime Focus Limited,INE367G01038
